FMID|MarketName|Website|Street|City|County|State|Zip|Schedule|x|y|Location|Credit|WIC|WICcash|SFMNP|SNAP|Bakedgoods|Cheese|Crafts|Flowers|Eggs|Seafood|Herbs|Vegetables|Honey|Jams|Maple|Meat|Nursery|Nuts|Plants|Poultry|Prepared|Soap|Trees|Wine|updateTime
1003527|52nd & Haverford Farmers' Market|http://www.foodtrustmarkets.org/markets.html|N 52nd Street and Haverford Avenue|Philadelphia|Philadelphia|Pennsylvania|19139|June - November Wednesday 1:00 PM to 5:00 PM, Friday 1:00 PM to 5:00 PM, (Wednesday markets begin June 6. Friday markets begin July 6.)|-75.22461|39.96498|Other|N|Y|N|Y|Y|Y|N|N|N|Y|N|N|Y|N|Y|N|N|N|N|N|N|N|N|N|N|5/17/2012 10:59:39 AM
1003703|57th Street Greenmarket|http://www.grownyc.org|W 57 St. & 9 Ave|New York|New York|New York|10019|April - December Wednesday 8:00 AM to 6:00 PM, Saturday 8:00 AM to 6:00 PM|-73.985839|40.768159|Other|Y|Y|Y|Y|Y|Y|N|N|N|N|N|Y|Y|N|N|N|N|N|N|N|Y|N|N|N|N|5/18/2012 2:56:45 PM
1003534|58th & Chester Farmers' Market|http://www.foodtrustmarkets.org/markets.html|58th Street and Chester Avenue|Philadelphia|Philadelphia|Pennsylvania|19143|June - November Wednesday 2:00 PM to 6:00 PM|-75.228324|39.935556|Other|N|Y|N|Y|Y|Y|N|N|N|Y|N|N|Y|N|Y|N|N|N|N|N|N|N|N|N|N|5/17/2012 11:13:54 AM
22001174|5th Street Farmers Market||5th and Main Street|Millersburg|Bourbon|Kentucky|40348||-84.1487|38.3004||N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|2009
1002746|61st Street Farmers Market|http://www.experimentalstation.org/farmers-market|6100 S Blackstone|Chicago|Cook|Illinois|60637|May - December Saturday 9:00 AM to 2:00 PM|-87.590568|41.78407|Closed-off public street|Y|N|N|Y|Y|Y|Y|N|Y|Y|Y|Y|Y|Y|Y|N|Y|N|N|Y|Y|Y|N|N|N|5/9/2012 3:41:07 PM
21006629|6701 Burnet Road Market|http://www.6701burnetroadmarket.com|6701 Burnet Road Market|Austin|Austin|Texas|78757|January - December|-97.7018|30.4258|Private business parking lot|N|Y|N|N|N|Y|Y|Y|N|N|N|N|Y|N|Y|N|Y|N|N|N|N|Y|Y|N|N|1/22/2012 6:36:41 PM
1003705|79th Street Greenmarket|http://www.grownyc.org|Columbus - W 78 & 81 Sts.|New York|New York|New York|10024|January - December Sunday 8:00 AM to 5:00 PM|-73.975668|40.781776|Other|Y|Y|Y|Y|Y|Y|Y|N|Y|N|N|Y|Y|N|Y|N|Y|N|N|Y|Y|N|N|N|Y|5/18/2012 3:11:18 PM
1003707|82nd Street Greenmarket|http://www.grownyc.org|E 82nd St. - 1st & York Ave|New York|New York|New York|10028|January - December Saturday 9:00 AM to 3:00 PM|-73.95009|40.773749|Other|Y|Y|Y|Y|Y|Y|N|N|N|N|Y|Y|Y|N|N|N|Y|N|N|N|N|N|N|N|N|5/18/2012 3:22:52 PM
1000568|8th Avenue City Farmers Market||8th Ave & 2nd St SE|Cedar Rapids|Linn|Iowa|52401|May - October Tuesday 4:00 PM to 6:00 PM, Saturday 7:30 AM to 12:00 PM|-91.6626534|41.972837|Local government building grounds|Y|Y|N|Y|N|Y|Y|Y|Y|Y|N|Y|Y|Y|Y|N|Y|Y|N|Y|Y|Y|Y|Y|N|4/25/2012 1:17:22 PM
1003709|92nd Street Greenmarket|http://www.grownyc.org|1st Ave - E 92nd & 93 Sts.|New York|New York|New York|10128|June - December Sunday 9:00 AM to 4:00 PM|-73.946421|40.780931|Other|Y|Y|Y|Y|Y|Y|N|N|N|N|Y|Y|Y|N|N|N|N|N|N|N|N|N|N|N|N|5/18/2012 3:29:23 PM
